note_id,user_id,deck_id,deck_path,note_type,front,back,example,note_fa,source_page,lingoda_status,fields_json,source_key,source,created_at,updated_at,references_json
bf09137c2ce84138bf109e4bdecf7ad5,108648163,659437789c994277ac55cf5c03384f85,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",vocab,aggraver,"Rendre plus grave, empirer. <i>Aggraver les causes d'un problème.</i>",d'aggraver les causes euh du problème. Il reste profondément euh euh sur une,,,,"{""back"":""Rendre plus grave, empirer. <i>Aggraver les causes d'un problème.</i>"",""front"":""aggraver"",""example"":""d'aggraver les causes euh du problème. Il reste profondément euh euh sur une"",""source_url"":""https://www.youtube.com/watch?v=ye52UrNeNLw"",""source_title"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""source_context"":""d'aggraver les causes euh du problème. Il reste profondément euh euh sur une""}",aggraver,language-reactor,2026-08-25T12:00:33.967936+00:00,2026-08-31T13:53:23.939433+00:00,"[{""kind"":""content"",""label"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""locator"":{""url"":""https://www.youtube.com/watch?v=ye52UrNeNLw""},""asset_id"":null,""content_id"":""d606c99c-780c-47bc-8baf-ac359e3fefca"",""created_at"":""2026-08-25T12:00:33.967936+00:00"",""segment_id"":null,""highlight_id"":null,""reference_id"":""9c2ddea3cff5401fb60d4a2fca47c1eb""}]"
7259dad700d74bf29329ed3c3d8cc9f7,108648163,659437789c994277ac55cf5c03384f85,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",vocab,profondément,"De manière intense, en profondeur. <i>La société a profondément changé.</i>",profondément changé. On n plus aujourd'hui à l'heure de la,,,,"{""back"":""De manière intense, en profondeur. <i>La société a profondément changé.</i>"",""front"":""profondément"",""example"":""profondément changé. On n plus aujourd'hui à l'heure de la"",""source_url"":""https://www.youtube.com/watch?v=ye52UrNeNLw"",""source_title"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""source_context"":""profondément changé. On n plus aujourd'hui à l'heure de la""}",profondement,language-reactor,2026-08-25T12:00:33.875074+00:00,2026-08-31T13:53:23.991386+00:00,"[{""kind"":""content"",""label"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""locator"":{""url"":""https://www.youtube.com/watch?v=ye52UrNeNLw""},""asset_id"":null,""content_id"":""d606c99c-780c-47bc-8baf-ac359e3fefca"",""created_at"":""2026-08-25T12:00:33.875074+00:00"",""segment_id"":null,""highlight_id"":null,""reference_id"":""8041207e8394477d99f2678dc7f7ba40""}]"
d641d4419add46b296916aa35e59be77,108648163,659437789c994277ac55cf5c03384f85,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",vocab,"rural, rurale",Qui concerne la campagne. <i>Contraire : urbain. Les territoires ruraux.</i>,"je suis beaucoup sur le terrain, en particulier dans les territoires ruraux.",,,,"{""back"":""Qui concerne la campagne. <i>Contraire : urbain. Les territoires ruraux.</i>"",""front"":""rural, rurale"",""example"":""je suis beaucoup sur le terrain, en particulier dans les territoires ruraux."",""source_url"":""https://www.youtube.com/watch?v=ye52UrNeNLw"",""source_title"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""source_context"":""je suis beaucoup sur le terrain, en particulier dans les territoires ruraux.""}","rural, rurale",language-reactor,2026-08-25T12:00:33.922847+00:00,2026-08-31T13:53:24.018381+00:00,"[{""kind"":""content"",""label"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""locator"":{""url"":""https://www.youtube.com/watch?v=ye52UrNeNLw""},""asset_id"":null,""content_id"":""d606c99c-780c-47bc-8baf-ac359e3fefca"",""created_at"":""2026-08-25T12:00:33.922847+00:00"",""segment_id"":null,""highlight_id"":null,""reference_id"":""d15784aaa6d24cd889a2299257774321""}]"
364571ee5bd34db2a58cb2530c4ab6d5,108648163,659437789c994277ac55cf5c03384f85,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",vocab,tomber d'accord (avec qqn),Finir par être du même avis. <i>Distinct de « tomber » = chuter.</i>,monde peut tomber d'accord avec vous sur la nécessité de faire attention à notre,,,,"{""back"":""Finir par être du même avis. <i>Distinct de « tomber » = chuter.</i>"",""front"":""tomber d'accord (avec qqn)"",""example"":""monde peut tomber d'accord avec vous sur la nécessité de faire attention à notre"",""source_url"":""https://www.youtube.com/watch?v=ye52UrNeNLw"",""source_title"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""source_context"":""monde peut tomber d'accord avec vous sur la nécessité de faire attention à notre""}",tomber d'accord (avec qqn),language-reactor,2026-08-25T12:00:33.853634+00:00,2026-08-31T13:53:24.06165+00:00,"[{""kind"":""content"",""label"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""locator"":{""url"":""https://www.youtube.com/watch?v=ye52UrNeNLw""},""asset_id"":null,""content_id"":""d606c99c-780c-47bc-8baf-ac359e3fefca"",""created_at"":""2026-08-25T12:00:33.853634+00:00"",""segment_id"":null,""highlight_id"":null,""reference_id"":""cb24bd42d5464c11bc2cae06dd00adbe""}]"
20670e65e60049e1ae275d2b8b8d09a7,108648163,659437789c994277ac55cf5c03384f85,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",vocab,un appui,Soutien apporté à qqn. <i>Venir en appui de qqn ; apporter son appui.</i>,d'agriculteurs qui se sont portés en appui des pompiers et qui ont apporté,,,,"{""back"":""Soutien apporté à qqn. <i>Venir en appui de qqn ; apporter son appui.</i>"",""front"":""un appui"",""example"":""d'agriculteurs qui se sont portés en appui des pompiers et qui ont apporté"",""source_url"":""https://www.youtube.com/watch?v=ye52UrNeNLw"",""source_title"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""source_context"":""d'agriculteurs qui se sont portés en appui des pompiers et qui ont apporté""}",un appui,language-reactor,2026-08-25T12:00:33.769411+00:00,2026-08-31T13:53:24.085798+00:00,"[{""kind"":""content"",""label"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""locator"":{""url"":""https://www.youtube.com/watch?v=ye52UrNeNLw""},""asset_id"":null,""content_id"":""d606c99c-780c-47bc-8baf-ac359e3fefca"",""created_at"":""2026-08-25T12:00:33.769411+00:00"",""segment_id"":null,""highlight_id"":null,""reference_id"":""37addd27cecd4e35be3077a5a9c7cafa""}]"
e4fc8cfd1e87425e8491c768e4f18e3f,108648163,659437789c994277ac55cf5c03384f85,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",vocab,un décalage,"Écart, différence entre deux choses qui devraient correspondre. <i>Un décalage entre le discours et la réalité.</i>",Il y a il y a un profond décalage euh entre une vie politique à Paris qui,,,,"{""back"":""Écart, différence entre deux choses qui devraient correspondre. <i>Un décalage entre le discours et la réalité.</i>"",""front"":""un décalage"",""example"":""Il y a il y a un profond décalage euh entre une vie politique à Paris qui"",""source_url"":""https://www.youtube.com/watch?v=ye52UrNeNLw"",""source_title"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""source_context"":""Il y a il y a un profond décalage euh entre une vie politique à Paris qui""}",un decalage,language-reactor,2026-08-25T12:00:33.902423+00:00,2026-08-31T13:53:24.116652+00:00,"[{""kind"":""content"",""label"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""locator"":{""url"":""https://www.youtube.com/watch?v=ye52UrNeNLw""},""asset_id"":null,""content_id"":""d606c99c-780c-47bc-8baf-ac359e3fefca"",""created_at"":""2026-08-25T12:00:33.902423+00:00"",""segment_id"":null,""highlight_id"":null,""reference_id"":""4ebf34a4adf84bdaa3180a93afaab007""}]"
40f9b1cee84f42ea84048eb4d12c90c2,108648163,659437789c994277ac55cf5c03384f85,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",vocab,un enjeu,Ce que l'on peut gagner ou perdre ; question importante en débat. <i>Un enjeu majeur.</i>,"va devenir un de nos enjeux majeurs ? Vous allez pas me dire le contraire,",,,,"{""back"":""Ce que l'on peut gagner ou perdre ; question importante en débat. <i>Un enjeu majeur.</i>"",""front"":""un enjeu"",""example"":""va devenir un de nos enjeux majeurs ? Vous allez pas me dire le contraire,"",""source_url"":""https://www.youtube.com/watch?v=ye52UrNeNLw"",""source_title"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""source_context"":""va devenir un de nos enjeux majeurs ? Vous allez pas me dire le contraire,""}",un enjeu,language-reactor,2026-08-25T12:00:34.003308+00:00,2026-08-31T13:53:24.13731+00:00,"[{""kind"":""content"",""label"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""locator"":{""url"":""https://www.youtube.com/watch?v=ye52UrNeNLw""},""asset_id"":null,""content_id"":""d606c99c-780c-47bc-8baf-ac359e3fefca"",""created_at"":""2026-08-25T12:00:34.003308+00:00"",""segment_id"":null,""highlight_id"":null,""reference_id"":""286ab16d4cc742959f183bc60b000956""}]"
ff7f87e4fe134325bb0c7dc59c50bd45,108648163,659437789c994277ac55cf5c03384f85,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",vocab,une décennie,Période de dix ans.,ce que disent les scientifiques depuis des décennies. La condition à mes yeux,,,,"{""back"":""Période de dix ans."",""front"":""une décennie"",""example"":""ce que disent les scientifiques depuis des décennies. La condition à mes yeux"",""source_url"":""https://www.youtube.com/watch?v=ye52UrNeNLw"",""source_title"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""source_context"":""ce que disent les scientifiques depuis des décennies. La condition à mes yeux""}",une decennie,language-reactor,2026-08-25T12:00:33.951821+00:00,2026-08-31T13:53:24.153384+00:00,"[{""kind"":""content"",""label"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""locator"":{""url"":""https://www.youtube.com/watch?v=ye52UrNeNLw""},""asset_id"":null,""content_id"":""d606c99c-780c-47bc-8baf-ac359e3fefca"",""created_at"":""2026-08-25T12:00:33.951821+00:00"",""segment_id"":null,""highlight_id"":null,""reference_id"":""0630eb8e7e244a9d9434023899c21e7a""}]"
52f39c2e46b6445cb00eac96bf108666,108648163,659437789c994277ac55cf5c03384f85,"French::Language Reactor::Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner",vocab,une perte,Fait de perdre qqch. <i>La perte de la biodiversité.</i>,"l'effondrement, la perte de la biodiversité, c'est devenu un enjeu de",,,,"{""back"":""Fait de perdre qqch. <i>La perte de la biodiversité.</i>"",""front"":""une perte"",""example"":""l'effondrement, la perte de la biodiversité, c'est devenu un enjeu de"",""source_url"":""https://www.youtube.com/watch?v=ye52UrNeNLw"",""source_title"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""source_context"":""l'effondrement, la perte de la biodiversité, c'est devenu un enjeu de""}",une perte,language-reactor,2026-08-25T12:00:33.980726+00:00,2026-08-31T13:53:24.174307+00:00,"[{""kind"":""content"",""label"":""Candidate à l’élection présidentielle, Delphine Batho appelle à une écologie capable de gouverner"",""locator"":{""url"":""https://www.youtube.com/watch?v=ye52UrNeNLw""},""asset_id"":null,""content_id"":""d606c99c-780c-47bc-8baf-ac359e3fefca"",""created_at"":""2026-08-25T12:00:33.980726+00:00"",""segment_id"":null,""highlight_id"":null,""reference_id"":""7bb5073169084c98a00630b6f1c074ed""}]"
fc3023766be44b4d91b27bcff9e4fbf6,108648163,301f0938b491455a90fa8b83a31a606a,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,vocab,avoir envie de,"Désirer, souhaiter. <i>« J'ai envie de dire » sert surtout, à l'oral, à atténuer ce qui suit.</i>","conscription écologique, j'ai envie de dire, qui existe déjà puisque les",,,,"{""back"":""Désirer, souhaiter. <i>« J'ai envie de dire » sert surtout, à l'oral, à atténuer ce qui suit.</i>"",""front"":""avoir envie de"",""example"":""conscription écologique, j'ai envie de dire, qui existe déjà puisque les"",""source_url"":""https://www.youtube.com/watch?v=hjMLn8XcRIA"",""source_title"":""Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza"",""source_context"":""conscription écologique, j'ai envie de dire, qui existe déjà puisque les""}",avoir envie de,language-reactor,2026-08-25T12:00:34.157406+00:00,2026-08-31T13:53:24.202809+00:00,"[{""kind"":""content"",""label"":""Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza"",""locator"":{""url"":""https://www.youtube.com/watch?v=hjMLn8XcRIA""},""asset_id"":null,""content_id"":""97385ae9-b0bb-4b7c-b2a1-d4c39269246f"",""created_at"":""2026-08-25T12:00:34.157406+00:00"",""segment_id"":null,""highlight_id"":null,""reference_id"":""244c973413504a3b965deeebbca8a40a""}]"
