status,score,verdict,highlight,comment,page,matched_card,annotation_id
already a card,48,needs polish,fringues,,12,les fringues,145
already a card,74,useful,hyper fan,,15,hyper fan,146
new Zotero candidate,0,new card needed,Ça me plaît,,15,,147
already a card,61,needs polish,très,,15,très,148
new Zotero candidate,0,new card needed,suis,,15,,149
already a card,63,needs polish,l’âme sœur,,16,l'âme sœur,150
new Zotero candidate,0,new card needed,s’amouracher,tomber amoureux de qq'un,16,,152
already a card,61,needs polish,la fratrie,,16,la fratrie,153
already a card,61,needs polish,débattre,,16,débattre,154
already a card,81,strong,échec,همینطور شطرنج,16,un échec,155
new Zotero candidate,0,new card needed,jalouse,,16,,156
new Zotero candidate,0,new card needed,remonter le moral,روحیه دادن,16,,157
new Zotero candidate,0,new card needed,se remettre,سرحال شدن,16,,158
already a card,58,needs polish,trahir,خیانت کردن,16,trahir,159
already a card,86,strong,Père au foyer,پدر خانه دار,17,un père au foyer,160
new Zotero candidate,0,new card needed,cédez,,26,,162
new Zotero candidate,0,new card needed,des règles de conduite,,26,,163
already a card,74,useful,À quelle vitesse,,26,à quelle vitesse,164
already a card,61,needs polish,Les bonnes manières,,26,les bonnes manières,165
already a card,56,needs polish,taguer,,26,taguer,166
new Zotero candidate,0,new card needed,sans son autorisation.,,26,,167
already a card,66,useful,auprès,,26,auprès (de),168
new Zotero candidate,0,new card needed,inondez,,26,,169
new Zotero candidate,0,new card needed,Ne pas,,26,,170
new Zotero candidate,0,new card needed,avalanche de photos,,26,,171
new Zotero candidate,0,new card needed,de rapports de voyage et,,26,,172
new Zotero candidate,0,new card needed,Maximum une par jour,,26,,173
already a card,61,needs polish,regrouper,,26,regrouper,174
already a card,66,useful,divulgâcher,,26,divulgâcher,175
new Zotero candidate,0,new card needed,L’époque où,,26,,176
already a card,61,needs polish,exprimer,,26,exprimer,177
new Zotero candidate,0,new card needed,ne «spoilez» pas le dénouement,,26,,178
already a card,63,needs polish,coupable,,26,coupable,179
new Zotero candidate,0,new card needed,pour avertir d’un retard,,26,,180
new Zotero candidate,0,new card needed,hâte,,26,,181
already a card,61,needs polish,La règle selon laquelle,,26,la règle selon laquelle,182
already a card,61,needs polish,rédaction,,26,la rédaction,183
already a card,61,needs polish,les bonnes manières,,26,les bonnes manières,184
already a card,61,needs polish,savoir-vivre,,26,le savoir-vivre,185
already a card,48,needs polish,en même temps,,26,en même temps,186
already a card,56,needs polish,gâcher,,26,gâcher,187
already a card,61,needs polish,bonnes manières numériques,,26,les bonnes manières numériques,188
already a card,53,needs polish,Production orale,,26,production orale,189
already a card,66,useful,smileys,,27,les smileys,191
already a card,61,needs polish,émoticônes,,27,les émoticônes,192
new Zotero candidate,0,new card needed,Ça me gêne.,,27,,193
new Zotero candidate,0,new card needed,Tu te trompes,,27,,194
new Zotero candidate,0,new card needed,citoyennes dès l enfance,,28,,195
already a card,61,needs polish,la maison de retraite,,16,la maison de retraite,196
new Zotero candidate,0,new card needed,Le plus-que-parfait (1),,21,,197
new Zotero candidate,0,new card needed,la bande de potes,,22,,198
new Zotero candidate,0,new card needed,le/la meilleur(e) ami(e),,22,,199
new Zotero candidate,0,new card needed,le/la pote,,22,,200
new Zotero candidate,0,new card needed,le chagrin,,22,,201
new Zotero candidate,0,new card needed,tendre,,22,,202
new Zotero candidate,0,new card needed,épauler,,22,,203
new Zotero candidate,0,new card needed,réconforter,,22,,204
new Zotero candidate,0,new card needed,briser la glace,,22,,205
new Zotero candidate,0,new card needed,décrocher son téléphone,,22,,206
new Zotero candidate,0,new card needed,pouffer,,22,,208
new Zotero candidate,0,new card needed,mécontentement,,25,,209
already a card,84,strong,dont,,25,**dont**,210
new Zotero candidate,0,new card needed,interlocuteur,,27,,211
new Zotero candidate,0,new card needed,reproche,,27,,212
new Zotero candidate,0,new card needed,Quel enfer,,27,,213
new Zotero candidate,0,new card needed,Est-ce que,,27,,214
new Zotero candidate,0,new card needed,Registre soutenu,,27,,215
new Zotero candidate,0,new card needed,subjonctif,,29,,216
already a card,61,needs polish,vivant,,30,vivant,217
new Zotero candidate,0,new card needed,• l’espace naturel,,30,,218
new Zotero candidate,0,new card needed,galanterie,,31,,219
new Zotero candidate,0,new card needed,faus  se,,31,,220
new Zotero candidate,0,new card needed,envers,,31,,221
new Zotero candidate,0,new card needed,galanterie,جوانمردی,31,,222
new Zotero candidate,0,new card needed,Bavarder,,32,,223
new Zotero candidate,0,new card needed,inconvénients,,32,,224
new Zotero candidate,0,new card needed,papoter,,32,,225
new Zotero candidate,0,new card needed,Chouette,,32,,226
new Zotero candidate,0,new card needed,on a tous le nez collé à nos écrans,,32,,227
new Zotero candidate,0,new card needed,file d’attente,,33,,228
new Zotero candidate,0,new card needed,triste/dommage/décevant,,33,,229
new Zotero candidate,0,new card needed,se dire bonjour,,33,,230
new Zotero candidate,0,new card needed,fait mouche,,33,,233
new Zotero candidate,0,new card needed,chouette/superbe initiative,,33,,234
new Zotero candidate,0,new card needed,Ça fait du bien de,,33,,235
new Zotero candidate,0,new card needed,L’Heure Civique,,33,,236
new Zotero candidate,0,new card needed,entraide,,33,,237
new Zotero candidate,0,new card needed,font partie,,28,,238
new Zotero candidate,0,new card needed,Il s’agirait de,,28,,239
new Zotero candidate,0,new card needed,s’imprègnent,,28,,240
new Zotero candidate,0,new card needed,recul,,28,,241
new Zotero candidate,0,new card needed,conscience,,30,,242
new Zotero candidate,0,new card needed,sensibiliser,,30,,243
new Zotero candidate,0,new card needed,J’en ai assez,,33,,244
new Zotero candidate,0,new card needed,dépêcher,,33,,245
new Zotero candidate,0,new card needed,croiser,,33,,246
new Zotero candidate,0,new card needed,pressés,,33,,247
new Zotero candidate,0,new card needed,Ça m’énerve,,33,,248
new Zotero candidate,0,new card needed,que les gens puissent papoter entre eux,,34,,249
new Zotero candidate,0,new card needed,Une réunion des voisins a lieu prochainement. Vous souhaitez y prendre la parole  pour présenter les choses que vous trouvez bien ou pas bien dans votre quartier. Vous préparez la liste de vos idées.,,34,,251
new Zotero candidate,0,new card needed,jovial,,33,,252
new Zotero candidate,0,new card needed,aient le choix.,,33,,253
new Zotero candidate,0,new card needed,l’embarras.,,33,,254
new Zotero candidate,0,new card needed,tiers-lieu,,35,,255
new Zotero candidate,0,new card needed,nombreuses,,35,,256
new Zotero candidate,0,new card needed,ciné-débats,,35,,257
new Zotero candidate,0,new card needed,relier tête et corps,,35,,258
new Zotero candidate,0,new card needed,lutter contre,,35,,259
new Zotero candidate,0,new card needed,dynamiser notre quartier,,35,,260
new Zotero candidate,0,new card needed,déshumanisé,,36,,261
new Zotero candidate,0,new card needed,avoir le moral au plus bas,,36,,262
new Zotero candidate,0,new card needed,peser sur le moral,,36,,263
new Zotero candidate,0,new card needed,la mise en action,,36,,264
new Zotero candidate,0,new card needed,prendre soin,,36,,265
