challenge_title,challenge_id,deck_id,title,position,release_at,created_at_utc,source_ref
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,0f4317272654459794ab7a70b695e7f1,Vos motivations et votre vie personnelle,0,2026-07-03T14:37:01.022862Z,2026-07-03T14:37:01Z,youtube:SM1GSh80SOA#axe=1
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,11cdc89a05ba451f838554965bfcac7a,Votre vie de couple et de famille,1,2026-07-03T14:37:02.022862Z,2026-07-03T14:37:01Z,youtube:SM1GSh80SOA#axe=2
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,f1025be638444aa4b8f98076003ddc74,La langue française et votre intégration,2,2026-07-03T14:37:03.022862Z,2026-07-03T14:37:01Z,youtube:SM1GSh80SOA#axe=3
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,2ecfd0efbb484bb89c6efe8e5c902b21,Géographie de la France,3,2026-07-03T14:37:04.022862Z,2026-07-03T14:37:01Z,youtube:SM1GSh80SOA#axe=4
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,e7b0104b8fb3410e8e29ccd06d6a239c,La monarchie et la Révolution française,4,2026-07-03T14:37:05.022862Z,2026-07-03T14:37:01Z,youtube:SM1GSh80SOA#axe=5
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,35675b37a2f64a0f9819f152e7abc96f,Les guerres mondiales et la Ve République,5,2026-07-03T14:37:06.022862Z,2026-07-03T14:37:01Z,youtube:SM1GSh80SOA#axe=6
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,61b5b1156e8c444b862f6e122b51f2f0,"Culture, arts et personnalités françaises",6,2026-07-03T14:37:07.022862Z,2026-07-03T14:37:01Z,youtube:SM1GSh80SOA#axe=7
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,f14ec8c4830a454692b7ee693b35686e,Dates clés et société française,7,2026-07-03T14:37:08.022862Z,2026-07-03T14:37:01Z,youtube:SM1GSh80SOA#axe=8
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,0b63d34fa0074365b5b72198a29da8b3,"La République : valeurs, symboles et démocratie",8,2026-07-03T14:37:09.022862Z,2026-07-03T14:37:01Z,youtube:SM1GSh80SOA#axe=9
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,a6f176f85a5d4d03af357c27f097b15f,Le pouvoir exécutif et les institutions,9,2026-07-03T14:37:10.022862Z,2026-07-03T14:37:01Z,youtube:SM1GSh80SOA#axe=10
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,e6e1553ac340426ca5b50148678444cc,Le Parlement : Assemblée nationale et Sénat,10,2026-07-03T14:37:11.022862Z,2026-07-03T14:37:01Z,youtube:SM1GSh80SOA#axe=11
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,b0c2b7456ed34569a08c9b7c21701bc9,L'Union européenne,11,2026-07-03T14:37:12.022862Z,2026-07-03T14:37:01Z,youtube:SM1GSh80SOA#axe=12
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,272e16b0924a4dbe834db204e25ffd27,"Droits, devoirs et citoyenneté",12,2026-07-03T14:37:13.022862Z,2026-07-03T14:37:01Z,youtube:SM1GSh80SOA#axe=13
French with Atena 🇫🇷,660762b526d849ffa4470a9e690fc2d3,9ee2d046e545455686c2fa7a490a5e1a,روز ۱ — فعل faire و معادل‌های دقیق,0,2026-06-21T09:48:11.039098Z,2026-06-21T09:48:11Z,
French with Atena 🇫🇷,660762b526d849ffa4470a9e690fc2d3,8234e9e751634a6a864d0b74bbb17541,روز ۲ — Verbe + à + infinitif (بخش ۱),1,2026-06-22T09:48:11.039098Z,2026-06-21T09:48:11Z,
French with Atena 🇫🇷,660762b526d849ffa4470a9e690fc2d3,f8a3e8ff8fae4318922d4bd6e37f43ef,روز ۳ — Verbe + à + infinitif (بخش ۲: انعکاسی و پرکاربرد),2,2026-06-23T09:48:11.039098Z,2026-06-21T09:48:11Z,
French with Atena 🇫🇷,660762b526d849ffa4470a9e690fc2d3,9b15143aa0264bf69dccfd8fa45342a7,روز ۴ — Langage SMS (مخفف‌های پیامکی),3,2026-06-24T09:48:11.039098Z,2026-06-21T09:48:11Z,
French with Atena 🇫🇷,660762b526d849ffa4470a9e690fc2d3,795ea9230b88462d97947e861a050c15,روز ۵ — اصطلاحات و عبارات مکالمه‌ای,4,2026-06-25T09:48:11.039098Z,2026-06-21T09:48:11Z,
French with Atena 🇫🇷,660762b526d849ffa4470a9e690fc2d3,7d828f93faf446d58f2ef27df63c0e92,روز ۶ — فعل‌های بی‌قاعده در زمان حال (les verbes irréguliers au présent),5,2026-07-04T09:48:11.039098Z,2026-07-03T13:38:55Z,https://cdn4.telesco.pe/file/lpS21RRPL2Lq1o3vfxdxShoqRYds1kw3gcRJx4ruKjDVCHS0HIswZS5H0YMt7B03y068nrEUdS44yNFlrUYGDVq715tEfcgdzAgY89T4hfXuwDukfyPZTGTFnybQxtSs0kbslTLpO-_tPoFVs6U3enH8XIHOjoCc4LcWUowEz1bRc4ebSnOsyg7t0kf_Necyh6y7duIKfO6MXnuRpyYmBEmqz2h4VUnqFkJBCn0KlHOgrt8k9HdXg28qWwGuKvFngjhw7QXDORrharVBEuDm6kz9MIuEiOublaM30sipSG-fHhw74wF3urxchKKIESGO8xDGwlECFcylBkGrn6ga6A.jpg
French with Atena 🇫🇷,660762b526d849ffa4470a9e690fc2d3,c7d9b857c34a463e9562673c29a7eb8d,روز ۲ — ترتیب صفت‌ها در فرانسه,6,2026-07-14T09:48:11.039098Z,2026-07-13T13:32:06Z,https://t.me/francoflow/345
