score,verdict,prompt_score,answer_score,context_score,value_score,source,deck_path,front_clean,front,back_clean,example,note_fa,source_url,source_context,note_id
87,strong,22,32,21,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,la conscription,la conscription,Enrôlement obligatoire des citoyens dans l'armée. Ici employé par analogie : « la conscription écologique ».,"ont été balayés dès le premier tour. La conscription écologique, on en a",,https://www.youtube.com/watch?v=hjMLn8XcRIA,"ont été balayés dès le premier tour. La conscription écologique, on en a",6e1df8e4e58741d98db132890c3eba33
87,strong,22,32,21,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,un bassin,un bassin,"Ici : zone géographique formant un ensemble. Un bassin de population, un bassin d'emploi.",pèse sur des bassins entiers de population. Mais Jean-Luc Mélenchon ne,,https://www.youtube.com/watch?v=hjMLn8XcRIA,pèse sur des bassins entiers de population. Mais Jean-Luc Mélenchon ne,b29b60e384904c939815fe6957fb250f
87,strong,22,32,21,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,un bilan,un bilan,"Résultat chiffré ou évaluation d'une action, d'une période, d'un mandat. Tirer un bilan ; le bilan d'un gouvernement.","Donc Édouard Philippe peut promettre ce qu'il veut. Il a un bilan, celui du",,https://www.youtube.com/watch?v=hjMLn8XcRIA,"Donc Édouard Philippe peut promettre ce qu'il veut. Il a un bilan, celui du",5e890003aac248689cc7214c8bd6351e
87,strong,22,32,21,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,une plainte,une plainte,"Démarche par laquelle on signale une infraction à la justice. Porter plainte, déposer une plainte.",d'élu. Une enquête a été ouverte par des plaintes après des plaintes de la de,,https://www.youtube.com/watch?v=hjMLn8XcRIA,d'élu. Une enquête a été ouverte par des plaintes après des plaintes de la de,fe59c868745c4cebaacfcf398b1e42b8
86,strong,22,32,20,12,vocab.md,French::Édito B1::Livre,un père au foyer,un père au foyer,Un père qui reste principalement à la maison pour s’occuper des enfants et du ménage.,"Après la naissance de leur fille, il est devenu père au foyer.",پدر خانه دار,,,30d5aee4e6004ef5995ab0dbb26fd552
84,strong,22,32,18,12,vocab.md,French::Édito B1::Grammaire,dont,**dont**,Pronom relatif qui remplace un complément introduit par de. Le verbe ou l'adjectif de la relative se construit toujours avec de.,c'est le plat **dont** j'ai envie *(avoir envie **de**)* · c'est la personne **dont** je vous ai déjà parlé *(parler **de**)* · c'est la situation **dont** je suis satisfait *(être satisfait **de**)* · c'est le stylo **dont** j'ai besoin *(avoir besoin **de**)* — cf. « de ce stylo-là »,,,c'est le plat **dont** j'ai envie *(avoir envie **de**)* · c'est la personne **dont** je vous ai déjà parlé *(parler **de**)* · c'est la situation **dont** je suis satisfait *(être satisfait **de**)* · c'est le stylo **dont** j'ai besoin *(avoir besoin **de**)* — cf. « de ce stylo-là »,7955d50f86da4d90b37c9c2525a7eb10
82,strong,22,27,21,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,baisser,baisser,"Diminuer, devenir ou rendre moins élevé. Les salaires ont baissé.",salaire des enseignants a baissé. Donc le temps de campagne et le temps de des,,https://www.youtube.com/watch?v=hjMLn8XcRIA,salaire des enseignants a baissé. Donc le temps de campagne et le temps de des,db2368f967f441e6b4690f20f6a7cc55
82,strong,22,27,21,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,banaliser,banaliser,Rendre ordinaire ; faire paraître normal ce qui devrait choquer.,"discours qui banalisent la violence d'une certaine façon ? D'abord, le fait",,https://www.youtube.com/watch?v=hjMLn8XcRIA,"discours qui banalisent la violence d'une certaine façon ? D'abord, le fait",7829aa7d753b4872bbfbc551eeb76248
82,strong,22,27,21,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,"exportateur, exportatrice","exportateur, exportatrice",Qui vend des produits à l'étranger. La France est exportatrice nette d'électricité.,"énergie stable alors que la France reste exportatrice hein, nette d'électricité.",,https://www.youtube.com/watch?v=hjMLn8XcRIA,"énergie stable alors que la France reste exportatrice hein, nette d'électricité.",cd1b945c5ea24b2aa82a7a508fdebce8
82,strong,22,27,21,12,language-reactor,French::Language Reactor::Rima Hassan est poursuivie pour son engagement contre le génocide à Gaza,inadmissible,inadmissible,Que l'on ne peut pas accepter ; intolérable.,retranscrite en direct à la télé ? Ça c'est inadmissible. C'est dénoncé,,https://www.youtube.com/watch?v=hjMLn8XcRIA,retranscrite en direct à la télé ? Ça c'est inadmissible. C'est dénoncé,db22a890b69a401ba11bc715280b733b
